technology,airbending,source,DataManager@27.03.2019 13:31:43
@data
material,sheetThicknessMM,punchRadiusMM,dieWidthMM,angleDEG,bendDeductionTanMM,bendDeductionEdgeMM,radiusMM
St37,0.5,1,6.4,75,-1.938,-0.726,1
St37,0.5,1,6.4,78.53,-1.755,-0.823,1
St37,0.5,1,6.4,85.56,-1.455,-1.057,1
St37,0.5,1,6.4,90,-1.316,-1.316,1
St37,0.5,1,6.4,93.1,-1.174,0,1
St37,0.5,1,6.4,101.98,-0.914,0,1.1
St37,0.5,1,6.4,105,-0.868,0,1.1
St37,0.5,1,6.4,111.98,-0.693,0,1.3
St37,0.5,1,6.4,120,-0.523,0,1.4
St37,0.5,1,6.4,124.26,-0.482,0,1.5
St37,0.5,1,6.4,132.56,-0.373,0,1.8
St37,0.5,1,6.4,135,-0.309,0,1.8
St37,0.5,1,6.4,143.84,-0.249,0,2.4
St37,0.5,1,6.4,150,-0.223,0,3
St37,0.5,1,6.4,156.01,-0.143,0,3.6
St37,0.5,1,6.4,168.27,-0.06,0,7.3
St37,0.7,0.2,4,30,-7.73,-0.215,0.5
St37,0.7,0.2,4,30.19,-7.691,-0.22,0.5
St37,0.7,0.2,4,32.22,-7.147,-0.239,0.5
St37,0.7,0.2,4,35.35,-6.252,-0.288,0.5
St37,0.7,0.2,4,38.88,-5.433,-0.342,0.5
St37,0.7,0.2,4,42.85,-4.693,-0.402,0.5
St37,0.7,0.2,4,45,-4.404,-0.433,0.5
St37,0.7,0.2,4,47.18,-4.058,-0.466,0.5
St37,0.7,0.2,4,52.01,-3.503,-0.536,0.5
St37,0.7,0.2,4,56.92,-3.055,-0.608,0.5
St37,0.7,0.2,4,60,-2.758,-0.655,0.5
St37,0.7,0.2,4,62.42,-2.658,-0.692,0.6
St37,0.7,0.2,4,69.38,-2.211,-0.807,0.6
St37,0.7,0.2,4,75,-1.911,-0.911,0.6
St37,0.7,0.2,4,77.82,-1.783,-0.967,0.6
St37,0.7,0.2,4,82.63,-1.588,-1.078,0.7
St37,0.7,0.2,4,90,-1.376,-1.376,0.7
St37,0.7,0.2,4,92.54,-1.25,0,0.7
St37,0.7,0.2,4,100.34,-1.037,0,0.8
St37,0.7,0.2,4,105,-0.949,0,0.8
St37,0.7,0.2,4,110.94,-0.802,0,1
St37,0.7,0.2,4,120,-0.6,0,1.1
St37,0.7,0.2,4,120.14,-0.634,0,1.1
St37,0.7,0.2,4,134.82,-0.421,0,1.6
St37,0.7,0.2,4,135,-0.373,0,1.6
St37,0.7,0.2,4,146.65,-0.281,0,2.3
St37,0.7,0.2,4,150,-0.27,0,2.6
St37,0.7,0.2,4,158.41,-0.165,0,3.6
